family,internal_family,capacity,H16_all_tied_fraction,H16_discriminative_fraction,H16_random_optimal_probability,H16_mean_random_regret,H16_decisions,H32_all_tied_fraction,H32_discriminative_fraction,H32_random_optimal_probability,H32_mean_random_regret,H32_decisions,H64_all_tied_fraction,H64_discriminative_fraction,H64_random_optimal_probability,H64_mean_random_regret,H64_decisions,H128_all_tied_fraction,H128_discriminative_fraction,H128_random_optimal_probability,H128_mean_random_regret,H128_decisions
metakv,metakv,128,0.8559013102282333,0.14409868977176665,0.9987113997781065,0.0012886002218934912,37856,0.843697168216399,0.15630283178360105,0.9985186463176247,0.001481353682375317,37856,0.8283495350803043,0.1716504649196957,0.9982086723372781,0.0017913276627218935,37856,0.8184699915469146,0.18153000845308542,0.9978596936416948,0.002140306358305156,37856
metakv,metakv,256,0.8328442618577603,0.16715573814223972,0.9991181082604172,0.0008822043562930161,37486,0.817398495438297,0.182601504561703,0.9987676649282399,0.0012326476884703622,37486,0.8018460225150723,0.1981539774849277,0.9980556282678866,0.0019448927599637197,37486,0.7928293229472336,0.20717067705276637,0.9966061287880809,0.003395434295470309,37486
twemcache,twemcache,32,0.24270126027107716,0.7572987397289228,0.9347340748764829,0.06696428571428571,37849,0.1721116913383108,0.8278883086616892,0.9392492231668896,0.061690798843381814,23171,0.1144534115920763,0.8855465884079237,0.9150325298864961,0.08725346338095033,23171,0.11285658797634975,0.8871434120236502,0.9131996892667559,0.08924005222044798,23171
twemcache,twemcache,64,0.1443536318637044,0.8556463681362956,0.9554965393691723,0.045000791412455395,34748,0.05179009318293281,0.9482099068170672,0.9429047633643943,0.07313021088769005,20390,0.004806277587052476,0.9951937224129476,0.8946458128984797,0.16947569274153998,20390,4.9043648847474255e-05,0.9999509563511525,0.7879015448749387,0.4822055848455125,20390
twemcache,twemcache,128,0.10174707485173906,0.8982529251482609,0.9713503265747716,0.02891514064753967,31195,0.000441306266548985,0.999558693733451,0.8961637384157105,0.1041844798102383,4532,0.0002206531332744925,0.9997793468667255,0.803675598521624,0.19759832855251544,4532,0.0002206531332744925,0.9997793468667255,0.6285735464474845,0.37471728817299205,4532
twemcache,twemcache,256,0.08412875357068209,0.9158712464293179,0.9838283753831951,0.01622088478889431,28706,0.0005664117813650524,0.9994335882186349,0.9455260106910224,0.05447398930897763,3531,0.0002832058906825262,0.9997167941093175,0.8965612609742283,0.10343873902577173,3531,0.0002832058906825262,0.9997167941093175,0.8035679517133957,0.19643204828660435,3531
wiki2018,wiki2018,32,1.0,0.0,1.0,0.0,49968,1.0,0.0,1.0,0.0,49968,1.0,0.0,1.0,0.0,49968,1.0,0.0,1.0,0.0,49968
wiki2018,wiki2018,64,1.0,0.0,1.0,0.0,49936,1.0,0.0,1.0,0.0,49936,1.0,0.0,1.0,0.0,49936,1.0,0.0,1.0,0.0,49936
wiki2018,wiki2018,128,1.0,0.0,1.0,0.0,49872,1.0,0.0,1.0,0.0,49872,1.0,0.0,1.0,0.0,49872,1.0,0.0,1.0,0.0,49872
wiki2018,wiki2018,256,1.0,0.0,1.0,0.0,49744,1.0,0.0,1.0,0.0,49744,1.0,0.0,1.0,0.0,49744,1.0,0.0,1.0,0.0,49744
