family,internal_family,capacity,horizon,classification,source_rows
alibaba-block,cloudphysics,32,16,EXISTING_CANONICAL_VALID,1
alibaba-block,cloudphysics,64,16,EXISTING_CANONICAL_VALID,1
alibaba-block,cloudphysics,128,16,EXISTING_CANONICAL_VALID,1
alibaba-block,cloudphysics,256,16,EXISTING_CANONICAL_VALID,1
metacdn,metacdn,32,16,EXISTING_CANONICAL_VALID,1
metacdn,metacdn,64,16,EXISTING_CANONICAL_VALID,1
metacdn,metacdn,128,16,EXISTING_CANONICAL_VALID,1
metacdn,metacdn,256,16,EXISTING_CANONICAL_VALID,1
metakv,metakv,32,16,EXISTING_CANONICAL_VALID,1
metakv,metakv,64,16,EXISTING_CANONICAL_VALID,1
metakv,metakv,128,16,EXISTING_CANONICAL_VALID,1
metakv,metakv,256,16,EXISTING_CANONICAL_VALID,1
twemcache,twemcache,32,16,EXISTING_CANONICAL_VALID,1
twemcache,twemcache,64,16,EXISTING_CANONICAL_VALID,1
twemcache,twemcache,128,16,EXISTING_CANONICAL_VALID,1
twemcache,twemcache,256,16,EXISTING_CANONICAL_VALID,1
wiki2018,wiki2018,32,16,EXISTING_CANONICAL_VALID,1
wiki2018,wiki2018,64,16,EXISTING_CANONICAL_VALID,1
wiki2018,wiki2018,128,16,EXISTING_CANONICAL_VALID,1
wiki2018,wiki2018,256,16,EXISTING_CANONICAL_VALID,1
