trace,capacity,ablation,eviction_t,evicted_page,bucket_hint,next_reuse_delta,proxy_threshold,proxy_mismatch,rapid_regret_H3,false_positive_vs_H3,false_negative_vs_H3,resolved_online
data/example_atlas_v1.json,2,dynamic_default,2,B,1,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,dynamic_default,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,2,dynamic_default,5,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,2,dynamic_default,6,B,2,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,dynamic_default,9,C,2,,2,0,0,0,0,0
data/example_atlas_v1.json,2,fixed_gamma_1,2,B,1,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,fixed_gamma_1,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,2,fixed_gamma_1,5,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,2,fixed_gamma_1,6,B,2,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,fixed_gamma_1,9,C,2,,2,0,0,0,0,0
data/example_atlas_v1.json,2,confidence_only,2,B,1,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,confidence_only,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,2,confidence_only,5,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,2,confidence_only,6,B,2,3,2,0,1,0,1,0
data/example_atlas_v1.json,2,confidence_only,9,C,2,,2,0,0,0,0,0
data/example_atlas_v1.json,3,dynamic_default,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,3,dynamic_default,6,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,3,fixed_gamma_1,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,3,fixed_gamma_1,6,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,3,dynamic_no_confidence,6,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,3,confidence_only,4,C,3,4,2,0,0,0,0,0
data/example_atlas_v1.json,3,confidence_only,6,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,4,dynamic_default,6,C,3,2,2,1,1,0,0,1
data/example_atlas_v1.json,4,fixed_gamma_1,6,C,3,2,2,1,1,0,0,1
data/example_atlas_v1.json,4,fixed_gamma_1,8,D,3,,2,0,0,0,0,0
data/example_atlas_v1.json,4,confidence_only,6,C,3,2,2,1,1,0,0,1
data/example_atlas_v1.json,4,confidence_only,8,D,3,,2,0,0,0,0,0
stress::predictor_good_lru_bad,2,atlas_v2_dynamic,2,B,3,4,2,0,0,0,0,0
stress::predictor_good_lru_bad,2,atlas_v2_dynamic,4,C,3,3,2,0,1,0,1,0
stress::predictor_good_lru_bad,2,atlas_v2_dynamic,6,D,3,3,2,0,1,0,1,0
stress::predictor_good_lru_bad,2,atlas_v2_dynamic,7,B,3,,2,0,0,0,0,0
stress::predictor_good_lru_bad,2,atlas_v2_dynamic,9,C,3,,2,0,0,0,0,0
stress::predictor_good_lru_bad,3,atlas_v2_dynamic,4,B,3,2,2,1,1,0,0,1
stress::predictor_good_lru_bad,3,atlas_v2_dynamic,6,C,3,1,2,1,1,0,0,1
stress::predictor_bad_lru_good,2,atlas_v2_dynamic,3,A,3,1,2,1,1,0,0,1
stress::predictor_bad_lru_good,2,atlas_v2_dynamic,5,A,3,1,2,1,1,0,0,1
stress::predictor_bad_lru_good,3,atlas_v2_dynamic,5,A,3,1,2,1,1,0,0,1
stress::predictor_bad_lru_good,3,atlas_v2_dynamic,7,A,3,1,2,1,1,0,0,1
stress::mixed_regime,2,atlas_v2_dynamic,2,B,3,2,2,1,1,0,0,1
stress::mixed_regime,3,atlas_v2_dynamic,9,B,2,,2,0,0,0,0,0
stress::regime_shift,2,atlas_v2_dynamic,2,B,3,2,2,1,1,0,0,1
stress::regime_shift,2,atlas_v2_dynamic,4,C,3,,2,0,0,0,0,0
stress::regime_shift,2,atlas_v2_dynamic,5,B,3,,2,0,0,0,0,0
stress::regime_shift,2,atlas_v2_dynamic,6,D,3,1,2,1,1,0,0,1
stress::regime_shift,3,atlas_v2_dynamic,5,C,3,,2,0,0,0,0,0
stress::regime_shift,3,atlas_v2_dynamic,6,B,3,,2,0,0,0,0,0
stress::regime_shift,3,atlas_v2_dynamic,9,A,0,,2,0,0,0,0,0
stress::confidence_calibrated,2,atlas_v2_dynamic,2,B,3,2,2,1,1,0,0,1
stress::confidence_calibrated,2,atlas_v2_dynamic,5,B,3,2,2,1,1,0,0,1
stress::confidence_miscalibrated,2,atlas_v2_dynamic,4,C,3,,2,0,0,0,0,0
stress::confidence_miscalibrated,2,atlas_v2_dynamic,7,D,3,,2,0,0,0,0,0
stress::confidence_miscalibrated,3,atlas_v2_dynamic,5,C,3,,2,0,0,0,0,0
stress::confidence_miscalibrated,3,atlas_v2_dynamic,8,D,3,,2,0,0,0,0,0
