trace,capacity,ablation,regime,fraction,next_request_miss_rate,avg_gamma,avg_confidence,match_lru,match_blind_oracle,match_predictive_marker,eviction_count
data/example_unweighted.json,2,dynamic_default,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,dynamic_default,fallback_dominated,1.0,1,0.8,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,dynamic_default,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_1,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_1,fallback_dominated,1.0,1,1.0,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_1,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0.5,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0.5,fallback_dominated,1.0,1,0.5,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0.5,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0,fallback_dominated,1.0,1,0.0,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,fixed_gamma_0,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,dynamic_no_confidence,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,dynamic_no_confidence,fallback_dominated,1.0,1,0.8,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,dynamic_no_confidence,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,confidence_only,predictor_dominated,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,2,confidence_only,fallback_dominated,1.0,1,1.0,0.5,1.0,0.125,0.25,8
data/example_unweighted.json,2,confidence_only,near_tie,0.0,,,,1.0,0.125,0.25,8
data/example_unweighted.json,3,dynamic_default,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,dynamic_default,fallback_dominated,1.0,0.3333333333333333,0.8,0.5,1.0,0.0,0.0,3
data/example_unweighted.json,3,dynamic_default,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_1,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_1,fallback_dominated,1.0,0.3333333333333333,1.0,0.5,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_1,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0.5,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0.5,fallback_dominated,1.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0.5,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0,fallback_dominated,1.0,0.3333333333333333,0.0,0.5,1.0,0.0,0.0,3
data/example_unweighted.json,3,fixed_gamma_0,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,dynamic_no_confidence,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,dynamic_no_confidence,fallback_dominated,1.0,0.3333333333333333,0.8,0.5,1.0,0.0,0.0,3
