trace_name,capacity,policy,misses,hit_rate,gamma_final,predictor_fraction,match_lru
predictor_good_lru_bad,2,atlas_v2_dynamic,7,0.3,0.9313999999999998,1.0,0.6
predictor_good_lru_bad,2,atlas_v2_fixed_g1,7,0.3,1.0,1.0,0.6
predictor_good_lru_bad,2,atlas_v2_fixed_g0,9,0.1,0.0,0.0,1.0
predictor_good_lru_bad,2,lru,9,0.1,,,1.0
predictor_good_lru_bad,2,blind_oracle,9,0.1,,,0.2857142857142857
predictor_good_lru_bad,2,predictive_marker,8,0.2,,,0.5
predictor_good_lru_bad,3,atlas_v2_dynamic,7,0.3,0.39199999999999996,0.5,1.0
predictor_good_lru_bad,3,atlas_v2_fixed_g1,7,0.3,1.0,1.0,1.0
predictor_good_lru_bad,3,atlas_v2_fixed_g0,7,0.3,0.0,0.0,1.0
predictor_good_lru_bad,3,lru,7,0.3,,,1.0
predictor_good_lru_bad,3,blind_oracle,7,0.3,,,0.0
predictor_good_lru_bad,3,predictive_marker,6,0.4,,,0.6666666666666666
predictor_bad_lru_good,2,atlas_v2_dynamic,8,0.2,0.39199999999999996,0.3333333333333333,0.3333333333333333
predictor_bad_lru_good,2,atlas_v2_fixed_g1,9,0.1,1.0,1.0,0.0
predictor_bad_lru_good,2,atlas_v2_fixed_g0,6,0.4,0.0,0.0,1.0
predictor_bad_lru_good,2,lru,6,0.4,,,1.0
predictor_bad_lru_good,2,blind_oracle,9,0.1,,,0.0
predictor_bad_lru_good,2,predictive_marker,6,0.4,,,1.0
predictor_bad_lru_good,3,atlas_v2_dynamic,8,0.2,0.39199999999999996,0.4,0.2
predictor_bad_lru_good,3,atlas_v2_fixed_g1,8,0.2,1.0,1.0,0.0
predictor_bad_lru_good,3,atlas_v2_fixed_g0,6,0.4,0.0,0.0,1.0
predictor_bad_lru_good,3,lru,6,0.4,,,1.0
predictor_bad_lru_good,3,blind_oracle,8,0.2,,,0.0
predictor_bad_lru_good,3,predictive_marker,6,0.4,,,0.0
mixed_regime,2,atlas_v2_dynamic,9,0.1,0.5599999999999999,0.14285714285714285,0.8571428571428571
mixed_regime,2,atlas_v2_fixed_g1,8,0.2,1.0,0.6666666666666666,0.3333333333333333
mixed_regime,2,atlas_v2_fixed_g0,10,0.0,0.0,0.0,1.0
mixed_regime,2,lru,10,0.0,,,1.0
mixed_regime,2,blind_oracle,9,0.1,,,0.2857142857142857
mixed_regime,2,predictive_marker,9,0.1,,,0.2857142857142857
mixed_regime,3,atlas_v2_dynamic,7,0.3,0.8,0.25,0.75
mixed_regime,3,atlas_v2_fixed_g1,7,0.3,1.0,0.5,0.75
mixed_regime,3,atlas_v2_fixed_g0,7,0.3,0.0,0.0,1.0
mixed_regime,3,lru,7,0.3,,,1.0
mixed_regime,3,blind_oracle,6,0.4,,,0.0
mixed_regime,3,predictive_marker,7,0.3,,,0.75
regime_shift,2,atlas_v2_dynamic,10,0.16666666666666666,0.4855799999999999,0.5,0.5
regime_shift,2,atlas_v2_fixed_g1,10,0.16666666666666666,1.0,1.0,0.25
regime_shift,2,atlas_v2_fixed_g0,10,0.16666666666666666,0.0,0.0,1.0
regime_shift,2,lru,10,0.16666666666666666,,,1.0
regime_shift,2,blind_oracle,10,0.16666666666666666,,,0.5
regime_shift,2,predictive_marker,9,0.25,,,0.42857142857142855
regime_shift,3,atlas_v2_dynamic,6,0.5,0.9019999999999999,1.0,0.3333333333333333
regime_shift,3,atlas_v2_fixed_g1,6,0.5,1.0,1.0,0.3333333333333333
regime_shift,3,atlas_v2_fixed_g0,6,0.5,0.0,0.0,1.0
regime_shift,3,lru,6,0.5,,,1.0
regime_shift,3,blind_oracle,6,0.5,,,0.0
regime_shift,3,predictive_marker,6,0.5,,,0.3333333333333333
confidence_calibrated,2,atlas_v2_dynamic,8,0.2,0.39199999999999996,0.3333333333333333,0.6666666666666666
confidence_calibrated,2,atlas_v2_fixed_g1,7,0.3,1.0,0.6,0.4
confidence_calibrated,2,atlas_v2_fixed_g0,10,0.0,0.0,0.0,1.0
confidence_calibrated,2,lru,10,0.0,,,1.0
confidence_calibrated,2,blind_oracle,10,0.0,,,0.25
confidence_calibrated,2,predictive_marker,7,0.3,,,0.4
confidence_calibrated,3,atlas_v2_dynamic,5,0.5,0.8,0.0,1.0
confidence_calibrated,3,atlas_v2_fixed_g1,5,0.5,1.0,0.0,1.0
confidence_calibrated,3,atlas_v2_fixed_g0,5,0.5,0.0,0.0,1.0
confidence_calibrated,3,lru,5,0.5,,,1.0
confidence_calibrated,3,blind_oracle,8,0.2,,,0.0
confidence_calibrated,3,predictive_marker,5,0.5,,,1.0
confidence_miscalibrated,2,atlas_v2_dynamic,10,0.0,0.8599999999999999,0.25,1.0
confidence_miscalibrated,2,atlas_v2_fixed_g1,10,0.0,1.0,0.25,1.0
confidence_miscalibrated,2,atlas_v2_fixed_g0,10,0.0,0.0,0.0,1.0
confidence_miscalibrated,2,lru,10,0.0,,,1.0
confidence_miscalibrated,2,blind_oracle,10,0.0,,,0.25
confidence_miscalibrated,2,predictive_marker,7,0.3,,,0.4
confidence_miscalibrated,3,atlas_v2_dynamic,5,0.5,0.8599999999999999,1.0,1.0
confidence_miscalibrated,3,atlas_v2_fixed_g1,5,0.5,1.0,1.0,1.0
confidence_miscalibrated,3,atlas_v2_fixed_g0,5,0.5,0.0,0.0,1.0
confidence_miscalibrated,3,lru,5,0.5,,,1.0
confidence_miscalibrated,3,blind_oracle,8,0.2,,,0.0
confidence_miscalibrated,3,predictive_marker,5,0.5,,,1.0
