trace,capacity,initial_gamma,rho,window,mismatch_threshold,misses,hit_rate,miss_gap_vs_lru,match_lru,gamma_final,fraction_predictor_dominated,fraction_fallback_dominated,rolling_mismatch_rate
data/example_unweighted.json,2,0.0,0.05,2,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,2,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,2,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,2,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,4,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,4,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,4,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,4,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,8,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,8,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,8,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,8,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,16,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,16,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,16,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.05,16,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,2,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,2,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,2,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,2,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,4,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,4,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,4,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,4,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,8,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,8,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,8,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,8,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,16,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,16,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,16,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.1,16,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,2,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,2,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,2,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,2,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,4,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,4,2,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,4,3,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,4,5,10,0.0,0,1.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,0.0,0.25,8,1,10,0.0,0,1.0,0.0,0.0,1.0,0.0
