horizon,model,val_mean_regret,test_mean_regret,val_top1,test_top1
4,hist_gb,0.009142857142857144,0.00552655818237642,0.01742857142857143,0.031624194043598404
4,random_forest,0.013428571428571429,0.00460546515198035,0.015428571428571429,0.026404666871354007
4,ridge,0.06485714285714286,0.015044519496469143,0.05028571428571429,0.08320540374577833
8,hist_gb,0.020285714285714285,0.010439054344488793,0.015714285714285715,0.03622965919557875
8,random_forest,0.024,0.01197420939514891,0.017714285714285714,0.02671169788148603
8,ridge,0.088,0.038378876266502916,0.037714285714285714,0.07952103162419405
16,hist_gb,0.03942857142857143,0.019643953345610803,0.020285714285714285,0.036525475751995086
16,random_forest,0.04314285714285714,0.01780233271945979,0.015714285714285715,0.024861878453038673
16,ridge,0.11657142857142858,0.08502148557397177,0.027714285714285716,0.08256599140577041
