trace,intended_case,capacity,disagreement_steps,variant,misses,miss_delta_vs_v1,miss_delta_vs_v2_full,harmful_override_steps,helpful_override_steps,predictor_steps
synthetic::predictor_disagreement_help,predictor_help,2,4,v1_baseline,15,0.0,0.0,0,1,3.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_full,15,0.0,0.0,0,1,2.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_no_override_budget,15,0.0,0.0,0,1,4.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_no_temporary_guard,15,0.0,0.0,0,1,2.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_no_reentry_gating,15,0.0,0.0,0,1,2.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_budget_only,15,0.0,0.0,0,1,2.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_guard_only,15,0.0,0.0,0,1,4.0
synthetic::predictor_disagreement_help,predictor_help,2,4,v2_reentry_only,15,0.0,0.0,0,1,4.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v1_baseline,11,0.0,-1.0,1,1,3.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_full,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_no_override_budget,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_no_temporary_guard,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_no_reentry_gating,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_budget_only,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_guard_only,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_help,predictor_help,3,4,v2_reentry_only,12,1.0,0.0,1,0,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v1_baseline,15,0.0,0.0,1,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_full,15,0.0,0.0,1,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_no_override_budget,15,0.0,0.0,1,0,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_no_temporary_guard,15,0.0,0.0,1,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_no_reentry_gating,15,0.0,0.0,1,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_budget_only,15,0.0,0.0,1,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_guard_only,15,0.0,0.0,1,0,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,2,9,v2_reentry_only,15,0.0,0.0,1,0,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v1_baseline,11,0.0,1.0,0,0,1.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_full,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_no_override_budget,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_no_temporary_guard,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_no_reentry_gating,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_budget_only,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_guard_only,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_hurt,predictor_hurt,3,2,v2_reentry_only,10,-1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v1_baseline,14,0.0,-1.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_full,15,1.0,0.0,0,0,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_no_override_budget,14,0.0,-1.0,0,1,3.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_no_temporary_guard,15,1.0,0.0,0,0,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_no_reentry_gating,15,1.0,0.0,0,0,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_budget_only,15,1.0,0.0,0,0,2.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_guard_only,14,0.0,-1.0,0,1,3.0
synthetic::predictor_disagreement_mixed,mixed,2,4,v2_reentry_only,14,0.0,-1.0,0,1,3.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v1_baseline,9,0.0,-1.0,0,2,3.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_full,10,1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_no_override_budget,9,0.0,-1.0,0,2,3.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_no_temporary_guard,10,1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_no_reentry_gating,10,1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_budget_only,10,1.0,0.0,0,1,2.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_guard_only,9,0.0,-1.0,0,2,3.0
synthetic::predictor_disagreement_mixed,mixed,3,3,v2_reentry_only,9,0.0,-1.0,0,2,3.0
