family,capacity,horizon,decisions,candidate_rows,all_tied_fraction,discriminativeness,mean_optimal_set_fraction,random_optimal_probability,mean_random_regret
cloudphysics,32,32,49241,1575712,0.8359294084198128,0.16407059158018722,0.9844381460571475,0.9844381460571475,0.015795399159237222
cloudphysics,32,64,49241,1575712,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.9844140299750208,0.01582014987510408
cloudphysics,32,128,49241,1575712,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.9844140299750208,0.01582014987510408
cloudphysics,64,32,48511,3104704,0.6732905938859228,0.32670940611407717,0.9871668925604502,0.9871668925604502,0.013947545402073757
cloudphysics,64,64,48511,3104704,0.6173857475624085,0.3826142524375915,0.9760418384490116,0.9760418384490116,0.02899793345839088
cloudphysics,64,128,48511,3104704,0.6173032920368576,0.38269670796314237,0.9754256766506566,0.9754256766506566,0.03023669889303457
cloudphysics,128,32,47620,6095360,0.5263964720705586,0.4736035279294414,0.9908451674716505,0.9908451674716505,0.009191909911801764
cloudphysics,128,64,47620,6095360,0.3935951280974381,0.6064048719025619,0.9839955310268794,0.9839955310268794,0.01619001994960101
cloudphysics,128,128,47620,6095360,0.329882402351953,0.670117597648047,0.9747831137127257,0.9747831137127257,0.02569987662746745
cloudphysics,256,32,46701,11955456,0.4007194706751461,0.5992805293248539,0.9936677446682084,0.9936677446682084,0.0064169865206312494
cloudphysics,256,64,46701,11955456,0.24584056015931136,0.7541594398406887,0.9884191786578446,0.9884191786578446,0.011935303847883343
cloudphysics,256,128,46701,11955456,0.14691334232671677,0.8530866576732832,0.9802134690638316,0.9802134690638316,0.021244275417014624
metacdn,32,32,29348,939136,0.0008518468038707918,0.9991481531961293,0.9246275299850075,0.9246275299850075,0.07688449809186317
metacdn,32,64,29348,939136,3.4073872154831676e-05,0.9999659261278452,0.9134342629821453,0.9134342629821453,0.08919155479078643
metacdn,32,128,29348,939136,3.4073872154831676e-05,0.9999659261278452,0.9132042643451002,0.9132042643451002,0.0894396551724138
metacdn,64,32,28552,1827328,0.0006304286915102269,0.9993695713084898,0.9571199040347437,0.9571199040347437,0.0432199364317736
