split,model_family,label_variant,label_noise,decision_count,pairwise_accuracy,top1_reconstruction,mean_chosen_regret,mean_regret_vs_best
train,logistic,head_pair,0.1,6860.0,0.8218911141259684,0.0,1.000728862973761,1.000728862973761
val,logistic,head_pair,0.1,8074.0,0.756258305664249,0.0,1.0002477086945751,1.0002477086945751
