trace,family,capacity,policy,misses,hit_rate
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_pairwise_v1,3000.0,0.625
data/processed/brightkite/trace.jsonl,brightkite,32,lru,2974.0,0.62825
data/processed/brightkite/trace.jsonl,brightkite,32,blind_oracle,5634.0,0.29575
data/processed/brightkite/trace.jsonl,brightkite,32,predictive_marker,3066.0,0.61675
data/processed/brightkite/trace.jsonl,brightkite,32,trust_and_doubt,3128.0,0.609
data/processed/brightkite/trace.jsonl,brightkite,32,robust_ftp_d_marker,3020.0,0.6225
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1,2974.0,0.62825
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1_guarded,2974.0,0.62825
data/processed/brightkite/trace.jsonl,brightkite,32,atlas_v3,2974.0,0.62825
data/processed/brightkite/trace.jsonl,brightkite,32,rest_v1,2974.0,0.62825
data/processed/brightkite/trace.jsonl,brightkite,64,evict_value_pairwise_v1,2692.0,0.6635
data/processed/brightkite/trace.jsonl,brightkite,64,lru,2683.0,0.664625
data/processed/brightkite/trace.jsonl,brightkite,64,blind_oracle,5219.0,0.347625
data/processed/brightkite/trace.jsonl,brightkite,64,predictive_marker,2755.0,0.655625
data/processed/brightkite/trace.jsonl,brightkite,64,trust_and_doubt,2847.0,0.644125
data/processed/brightkite/trace.jsonl,brightkite,64,robust_ftp_d_marker,2726.0,0.65925
data/processed/brightkite/trace.jsonl,brightkite,64,evict_value_v1,2683.0,0.664625
data/processed/brightkite/trace.jsonl,brightkite,64,evict_value_v1_guarded,2683.0,0.664625
data/processed/brightkite/trace.jsonl,brightkite,64,atlas_v3,2683.0,0.664625
data/processed/brightkite/trace.jsonl,brightkite,64,rest_v1,2683.0,0.664625
data/processed/citibike/trace.jsonl,citibike,32,evict_value_pairwise_v1,2692.0,0.6635
data/processed/citibike/trace.jsonl,citibike,32,lru,2687.0,0.664125
data/processed/citibike/trace.jsonl,citibike,32,blind_oracle,6535.0,0.183125
data/processed/citibike/trace.jsonl,citibike,32,predictive_marker,2732.0,0.6585
data/processed/citibike/trace.jsonl,citibike,32,trust_and_doubt,2847.0,0.644125
data/processed/citibike/trace.jsonl,citibike,32,robust_ftp_d_marker,2723.0,0.659625
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1,2687.0,0.664125
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1_guarded,2687.0,0.664125
data/processed/citibike/trace.jsonl,citibike,32,atlas_v3,2687.0,0.664125
data/processed/citibike/trace.jsonl,citibike,32,rest_v1,2687.0,0.664125
data/processed/citibike/trace.jsonl,citibike,64,evict_value_pairwise_v1,2604.0,0.6745
data/processed/citibike/trace.jsonl,citibike,64,lru,2606.0,0.67425
data/processed/citibike/trace.jsonl,citibike,64,blind_oracle,6062.0,0.24225
data/processed/citibike/trace.jsonl,citibike,64,predictive_marker,2605.0,0.674375
data/processed/citibike/trace.jsonl,citibike,64,trust_and_doubt,2688.0,0.664
data/processed/citibike/trace.jsonl,citibike,64,robust_ftp_d_marker,2607.0,0.674125
data/processed/citibike/trace.jsonl,citibike,64,evict_value_v1,2606.0,0.67425
data/processed/citibike/trace.jsonl,citibike,64,evict_value_v1_guarded,2606.0,0.67425
data/processed/citibike/trace.jsonl,citibike,64,atlas_v3,2606.0,0.67425
data/processed/citibike/trace.jsonl,citibike,64,rest_v1,2606.0,0.67425
