family,capacity,horizon,score_start,score_end,policy,status,misses,miss_ratio,trace_sha256
brightkite,32,4,10000,50000,lru,ok,14426,0.36065,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
brightkite,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,19153,0.478825,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
brightkite,64,4,10000,50000,lru,ok,13225,0.330625,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
brightkite,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,19079,0.476975,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
brightkite,128,4,10000,50000,lru,ok,12397,0.309925,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
brightkite,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,18971,0.474275,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de
citibike,32,4,10000,50000,lru,ok,16603,0.415075,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
citibike,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,24772,0.6193,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
citibike,64,4,10000,50000,lru,ok,15709,0.392725,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
citibike,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,24678,0.61695,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
citibike,128,4,10000,50000,lru,ok,14217,0.355425,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
citibike,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,24461,0.611525,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130
cloudphysics,32,4,10000,50000,lru,ok,39442,0.98605,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
cloudphysics,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,39955,0.998875,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
cloudphysics,64,4,10000,50000,lru,ok,38880,0.972,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
cloudphysics,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,39947,0.998675,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
cloudphysics,128,4,10000,50000,lru,ok,38237,0.955925,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
cloudphysics,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,39937,0.998425,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57
metacdn,32,4,10000,50000,lru,ok,23207,0.580175,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metacdn,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,26446,0.66115,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metacdn,64,4,10000,50000,lru,ok,22586,0.56465,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metacdn,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,26029,0.650725,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metacdn,128,4,10000,50000,lru,ok,21952,0.5488,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metacdn,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,25624,0.6406,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73
metakv,32,4,10000,50000,lru,ok,30569,0.764225,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
metakv,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,30692,0.7673,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
metakv,64,4,10000,50000,lru,ok,30552,0.7638,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
metakv,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,30654,0.76635,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
metakv,128,4,10000,50000,lru,ok,30539,0.763475,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
metakv,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,30598,0.76495,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de
twemcache,32,4,10000,50000,lru,ok,30022,0.75055,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
twemcache,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,35389,0.884725,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
twemcache,64,4,10000,50000,lru,ok,27650,0.69125,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
twemcache,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,35330,0.88325,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
twemcache,128,4,10000,50000,lru,ok,24913,0.622825,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
twemcache,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,35161,0.879025,62df27062ce2595c843fd91e01d26c9783ff8f165f6b26e983696eda7ada0bb9
wiki2018,32,4,10000,50000,lru,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
wiki2018,32,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
wiki2018,64,4,10000,50000,lru,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
wiki2018,64,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
wiki2018,128,4,10000,50000,lru,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
wiki2018,128,4,10000,50000,exact_finite_horizon_eviction_loss_oracle,ok,40000,1.0,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608
