example_id,decision_step,branch_id,method,gold_branch_id,baseline_pick_branch_id,expanded_pick_branch_id,baseline_correct,target_expand_value,target_expand_delta,target_expand_better_than_baseline,target_expand_approx_from_future_observation,split,raw_score,depth,expansions,verifications,remaining_budget,post_verify_score,score_delta,survived_pruning_steps
greedy_single_path::ep0,0,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7727760805269552,3.0,1.0,1.0,7.0,0.7727760805269552,0.14289336031015332,0.0
greedy_single_path::ep0,1,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.685340181437909,4.0,2.0,1.0,6.0,0.685340181437909,-0.08743589908904625,1.0
greedy_single_path::ep0,2,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.8747675157755791,5.0,3.0,1.0,5.0,0.8747675157755791,0.18942733433767012,2.0
greedy_single_path::ep0,3,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.9594363271491504,6.0,4.0,1.0,4.0,0.9594363271491504,0.0846688113735713,3.0
greedy_single_path::ep0,4,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.8639365482340319,7.0,5.0,2.0,3.0,0.8639365482340319,-0.09549977891511852,4.0
greedy_single_path::ep0,5,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7818018797846884,8.0,6.0,2.0,2.0,0.7818018797846884,-0.08213466844934347,5.0
greedy_single_path::ep0,6,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7543847838842528,9.0,7.0,3.0,1.0,0.7543847838842528,-0.027417095900435617,6.0
greedy_single_path::ep0,7,3,greedy_single_path,1,3,3,0,0.0,0.0,0,0,train,0.7935651222512381,10.0,8.0,4.0,0.0,0.7935651222512381,0.03918033836698531,7.0
greedy_single_path::ep1,0,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.4880238852464484,4.0,1.0,1.0,7.0,0.4880238852464484,-0.03110022951762831,0.0
greedy_single_path::ep1,1,2,greedy_single_path,2,2,2,1,1.0,0.0,0,0,val,0.4208402020747694,2.0,1.0,1.0,6.0,0.4208402020747694,-0.07893295013202223,1.0
