experiment_protocol_version,policy,policy_variant,implementation_source,implementation_commit,trace,trace_sha256,capacity,capacity_semantics,object_size_semantics,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,cache_warmup,model_training_mode,model_training_data,model_frozen_during_test,online_adaptation_during_test,hyperparameter_source,random_seed,future_information,runtime_seconds,status,failure_reason,protocol_id,objective,held_out_family,fold_id,model_hash,model_family,feature_schema_version,objective_definition_version,horizon,censoring_mode,training_families,validation_family,seed
reviewer_fairness_v1,supervision_objective_ablation_objective_eviction_loss,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,24531,15469,0.386725,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,20.3633,ok,,supervision_objective_ablation_v1,objective_eviction_loss,brightkite,cross_family_v1_brightkite,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_eviction_loss,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,24551,15449,0.386225,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,75.7916,ok,,supervision_objective_ablation_v1,objective_eviction_loss,brightkite,cross_family_v1_brightkite,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_eviction_loss,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,24302,15698,0.39245,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,372.0831,ok,,supervision_objective_ablation_v1,objective_eviction_loss,brightkite,cross_family_v1_brightkite,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_next_arrival,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25260,14740,0.3685,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,18.8775,ok,,supervision_objective_ablation_v1,objective_next_arrival,brightkite,cross_family_v1_brightkite,182c682b16d684590fe123fa161884e2e6a0e50405a4d02d3037b94e56920aec,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_next_arrival,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,26754,13246,0.33115,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,63.4792,ok,,supervision_objective_ablation_v1,objective_next_arrival,brightkite,cross_family_v1_brightkite,182c682b16d684590fe123fa161884e2e6a0e50405a4d02d3037b94e56920aec,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_next_arrival,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,27597,12403,0.310075,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,288.6622,ok,,supervision_objective_ablation_v1,objective_next_arrival,brightkite,cross_family_v1_brightkite,182c682b16d684590fe123fa161884e2e6a0e50405a4d02d3037b94e56920aec,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_reuse_distance,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25260,14740,0.3685,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,18.8988,ok,,supervision_objective_ablation_v1,objective_reuse_distance,brightkite,cross_family_v1_brightkite,a12d9efa99f2fac624cdba63ce4a4104c5221b96d022fb62ac366ee1fe417241,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_reuse_distance,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,26754,13246,0.33115,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,63.312,ok,,supervision_objective_ablation_v1,objective_reuse_distance,brightkite,cross_family_v1_brightkite,a12d9efa99f2fac624cdba63ce4a4104c5221b96d022fb62ac366ee1fe417241,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_reuse_distance,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,27597,12403,0.310075,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,287.976,ok,,supervision_objective_ablation_v1,objective_reuse_distance,brightkite,cross_family_v1_brightkite,a12d9efa99f2fac624cdba63ce4a4104c5221b96d022fb62ac366ee1fe417241,ridge,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
reviewer_fairness_v1,supervision_objective_ablation_objective_pairwise,primary_controlled_window,native_pretrained_offline,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25574,14426,0.36065,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows",yes,no,frozen_supervision_objective_ablation_v1_grid,0,none,20.7947,ok,,supervision_objective_ablation_v1,objective_pairwise,brightkite,cross_family_v1_brightkite,84fc1ae9776d781a154c6059dbf7a6dd813427edbec474cb54665272d91566b4,shared_weight_mlp_pairwise,evict_value_v1,v1,4,horizon_controlled_primary,cloudphysics;metacdn;metakv;twemcache;wiki2018,citibike,0
