split,model,decisions,top1,mean_regret
train,evict_value_v1_lightweight,23.0,0.5652173913043478,0.5217391304347826
train,history_pairwise_light,23.0,0.6956521739130435,0.08695652173913043
train,joint_softmax,23.0,1.0,0.0
val,evict_value_v1_lightweight,4.0,0.25,0.75
val,history_pairwise_light,4.0,0.75,0.25
val,joint_softmax,4.0,0.75,0.25
test,evict_value_v1_lightweight,2.0,0.5,0.5
test,history_pairwise_light,2.0,0.0,0.5
test,joint_softmax,2.0,0.0,0.5
