decision_id,request_t,h_long,tie_set_size,long_min,long_max,long_spread,tied_set_broken,deterministic_choice,deterministic_long_value,deterministic_is_long_best,deterministic_long_regret,learned_choice,learned_choice_in_h4_tie,learned_long_value,learned_is_long_best,learned_long_regret
brightkite_50k|cap=64|t=10019,10019,32,63,15.0,16.0,1.0,yes,429264c8801ac80b0c60a145bf4c9f6f,16.0,no,1.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,15.0,yes,0.0
brightkite_50k|cap=64|t=10020,10020,8,63,5.0,5.0,0.0,no,7e56534bbf9209060daac8e579e3b18f,5.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,5.0,yes,0.0
brightkite_50k|cap=64|t=10020,10020,16,63,7.0,7.0,0.0,no,7e56534bbf9209060daac8e579e3b18f,7.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10020,10020,32,63,16.0,16.0,0.0,no,7e56534bbf9209060daac8e579e3b18f,16.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10021,10021,8,63,4.0,4.0,0.0,no,0a744850210b380f350f4347f4e546b2,4.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10021,10021,16,63,7.0,7.0,0.0,no,0a744850210b380f350f4347f4e546b2,7.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10021,10021,32,63,16.0,16.0,0.0,no,0a744850210b380f350f4347f4e546b2,16.0,yes,0.0,fcc78eb177a25cd0530ad1295a4d9de9,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10022,10022,8,62,3.0,3.0,0.0,no,f8b3faa4b44fa616b74e30916499c438,3.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10022,10022,16,62,7.0,7.0,0.0,no,f8b3faa4b44fa616b74e30916499c438,7.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10022,10022,32,62,16.0,16.0,0.0,no,f8b3faa4b44fa616b74e30916499c438,16.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10024,10024,8,63,4.0,5.0,1.0,yes,ba94cba636484ad65b893abf9a1d038e,4.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10024,10024,16,63,8.0,9.0,1.0,yes,ba94cba636484ad65b893abf9a1d038e,8.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10024,10024,32,63,15.0,16.0,1.0,yes,ba94cba636484ad65b893abf9a1d038e,15.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10026,10026,8,62,3.0,3.0,0.0,no,137e9ef8a48a11dd8755003048c10834,3.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10026,10026,16,62,7.0,7.0,0.0,no,137e9ef8a48a11dd8755003048c10834,7.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10026,10026,32,62,15.0,16.0,1.0,yes,137e9ef8a48a11dd8755003048c10834,16.0,no,1.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10028,10028,8,62,2.0,2.0,0.0,no,0f1c42527c65122f4574b7bf44b73f7bb750e083,2.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10028,10028,16,62,7.0,7.0,0.0,no,0f1c42527c65122f4574b7bf44b73f7bb750e083,7.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10028,10028,32,62,15.0,15.0,0.0,no,0f1c42527c65122f4574b7bf44b73f7bb750e083,15.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10031,10031,8,63,4.0,4.0,0.0,no,44a22ea8bde35cba2de58302dfafdc59,4.0,yes,0.0,8fde23d6245c11debf73003048c0801e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10031,10031,16,63,8.0,9.0,1.0,yes,44a22ea8bde35cba2de58302dfafdc59,8.0,yes,0.0,8fde23d6245c11debf73003048c0801e,yes,9.0,no,1.0
brightkite_50k|cap=64|t=10031,10031,32,63,16.0,17.0,1.0,yes,44a22ea8bde35cba2de58302dfafdc59,16.0,yes,0.0,8fde23d6245c11debf73003048c0801e,yes,17.0,no,1.0
brightkite_50k|cap=64|t=10032,10032,8,63,4.0,4.0,0.0,no,429264c8801ac80b0c60a145bf4c9f6f,4.0,yes,0.0,8fde23d6245c11debf73003048c0801e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10032,10032,16,63,7.0,8.0,1.0,yes,429264c8801ac80b0c60a145bf4c9f6f,7.0,yes,0.0,8fde23d6245c11debf73003048c0801e,yes,8.0,no,1.0
brightkite_50k|cap=64|t=10032,10032,32,63,15.0,16.0,1.0,yes,429264c8801ac80b0c60a145bf4c9f6f,16.0,no,1.0,8fde23d6245c11debf73003048c0801e,yes,16.0,no,1.0
