seed,threshold,val_total_misses,val_trigger_frequency,val_workloads
0,0.0,43,0.0,8
0,0.01,43,0.0,8
0,0.03,43,0.0,8
0,0.05,43,0.0,8
0,0.08,43,0.0,8
0,0.12,43,0.1111111111111111,8
1,0.0,43,0.0,8
1,0.01,43,0.0,8
1,0.03,43,0.0,8
1,0.05,43,0.0,8
1,0.08,43,0.0,8
1,0.12,43,0.1111111111111111,8
2,0.0,54,0.0,8
2,0.01,54,0.0,8
2,0.03,54,0.0,8
2,0.05,54,0.0,8
2,0.08,54,0.0,8
2,0.12,54,0.0,8
3,0.0,13,0.0,4
3,0.01,13,0.0,4
3,0.03,13,0.0,4
3,0.05,13,0.0,4
3,0.08,13,0.0,4
3,0.12,13,1.0,4
5,0.0,48,0.0,8
5,0.01,48,0.0,8
5,0.03,48,0.0,8
5,0.05,48,0.0,8
5,0.08,48,0.0,8
5,0.12,48,0.0,8
